year,quarter,segment,flow,split_type,split_value,count_value,pct_value
2020,4,Consumer,incoming,first_timer,Yes,,
2020,4,Consumer,incoming,first_timer,No,,
2020,4,Consumer,outgoing,gender,Men,4,100.0
2020,4,Consumer,outgoing,gender,Women,0,0.0
2020,4,Consumer,outgoing,appointment,Internal,3,75.0
2020,4,Consumer,outgoing,appointment,External,1,25.0
2020,4,Consumer,outgoing,first_timer,Yes,,
2020,4,Consumer,outgoing,first_timer,No,,
2020,4,Financial Services,incoming,gender,Men,5,71.4
2020,4,Financial Services,incoming,gender,Women,2,28.6
2020,4,Financial Services,incoming,appointment,Internal,5,71.4
2020,4,Financial Services,incoming,appointment,External,2,28.6
2020,4,Financial Services,incoming,first_timer,Yes,,
2020,4,Financial Services,incoming,first_timer,No,,
2020,4,Financial Services,outgoing,gender,Men,11,100.0
2020,4,Financial Services,outgoing,gender,Women,0,0.0
